2021-11-30 10:22:23 [pool-2-thread-114] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 114 with 820 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-52] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 52 with 4 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-122] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 122 with 433 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-123] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 123 with 97 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-119] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 119 with 612 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-128] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 128 with 124 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-162] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 162 with 64 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-670] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 670 with 643 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-580] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 580 with 433 containers is in queue. Ship status is - unloading and loading required.
2021-11-30 10:22:23 [pool-2-thread-231] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 231 with 104 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-155] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 155 with 300 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-663] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 663 with 28 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-637] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 637 with 124 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-641] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 641 with 252 containers is in queue. Ship status - loading required.
2021-11-30 10:22:23 [pool-2-thread-644] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 644 with 481 containers is in queue. Ship status - unloading required.
2021-11-30 10:22:23 [pool-2-thread-183] [nextAction] [25] INFO  epam.task5.state.impl.WaitingState - Ship 183 with 451 containers is in queue. Ship status - loading required.
